id_binyan,lat,lon,height,height_source,floors,height_recorded,height_dsm,building_type,building_name,year
195,32.0485372,34.7904706,12.35,recorded,2.0,12.35,10.067784,מבנה רגיל,,1953.0
202,32.0545908,34.7883085,11.81,recorded,3.0,11.81,9.494157,מבנה רגיל,,1963.0
213,32.0557022,34.7877093,7.9,recorded,1.0,7.9,6.421343,מבנה רגיל,,1944.0
220,32.0557888,34.7868309,9.28,recorded,2.0,9.28,6.2404356,מבנה רגיל,,1963.0
227,32.054957,34.7874821,10.76,recorded,2.0,10.76,8.347668,מבנה רגיל,,1963.0
234,32.0549447,34.7897801,7.87,recorded,1.0,7.87,5.5600014,מבנה רגיל,,1953.0
238,32.055218,34.790111,8.47,recorded,2.0,8.47,6.5111628,מבנה רגיל,,1994.0
245,32.0548232,34.7900045,6.67,recorded,2.0,6.67,4.4449997,מבנה רגיל,,1952.0
15,32.0554071,34.77707,10.32,recorded,1.0,10.32,4.553963,מבנה רגיל,,1949.0
30,32.055304,34.7760042,12.31,recorded,3.0,12.31,11.808051,מבנה רגיל,,1949.0
32,32.0557486,34.7775658,7.4,recorded,1.0,7.4,4.625,מבנה רגיל,,1949.0
47,32.0569246,34.7768949,0.11,recorded,1.0,0.11,6.0767684,מבנה רגיל,,1932.0
49,32.0570068,34.7780535,11.24,recorded,3.0,11.24,9.3992,מבנה רגיל,,1941.0
64,32.0544125,34.7767895,16.77,recorded,2.0,16.77,7.408514,מבנה רגיל,,1948.0
66,32.0542586,34.7774706,11.4,recorded,1.0,11.4,9.3334,מבנה רגיל,,1951.0
81,32.0548458,34.7781472,8.22,recorded,1.0,8.22,7.1850014,מבנה רגיל,,1951.0
83,32.0548949,34.7786939,7.53,recorded,1.0,7.53,3.8499985,מבנה רגיל,,1952.0
98,32.0551004,34.7784269,5.92,recorded,1.0,5.92,4.342248,מבנה רגיל,,1949.0
100,32.0551035,34.7777848,11.38,recorded,3.0,11.38,10.174999,מבנה רגיל,,1931.0
113,32.0538346,34.7763123,10.97,recorded,2.0,10.97,8.39149,מבנה רגיל,,1949.0
115,32.0539089,34.7759038,4.96,recorded,1.0,4.96,3.5950012,מבנה רגיל,,1948.0
130,32.0541849,34.7769504,13.17,recorded,3.0,13.17,11.406111,מבנה רגיל,,1999.0
132,32.0542521,34.7767431,7.62,recorded,1.0,7.62,4.6591353,מבנה רגיל,,1949.0
147,32.0557282,34.776587,13.74,recorded,3.0,13.74,9.65773,מבנה רגיל,,1960.0
149,32.0560313,34.7774866,12.86,recorded,1.0,12.86,13.07,מבנה רגיל,,
164,32.054829,34.7766238,13.62,recorded,3.0,13.62,12.110001,מבנה רגיל,,1957.0
166,32.0541388,34.7772396,11.9,recorded,3.0,11.9,10.14127,מבנה רגיל,,1949.0
181,32.0553961,34.7896302,11.05,recorded,1.0,11.05,7.8852105,מבנה רגיל,,1948.0
183,32.0547186,34.7897253,6.31,recorded,2.0,6.31,5.1800003,מבנה רגיל,,1960.0
198,32.0549914,34.7864427,12.42,recorded,3.0,12.42,10.13,מבנה רגיל,,1961.0
200,32.0554352,34.7904361,11.02,recorded,2.0,11.02,7.833111,מבנה רגיל,,1953.0
215,32.0552986,34.7865659,11.58,recorded,3.0,11.58,8.720943,מבנה רגיל,,1961.0
217,32.0553127,34.7863459,11.49,recorded,3.0,11.49,9.230847,מבנה רגיל,,1948.0
230,32.0557956,34.7883172,10.5,recorded,2.0,10.5,9.602748,מבנה רגיל,,1946.0
232,32.0548411,34.7897256,6.96,recorded,1.0,6.96,5.6307626,מבנה רגיל,,1947.0
247,32.0550135,34.7903061,7.1,recorded,1.0,7.1,5.262394,מבנה רגיל,,1958.0
249,32.0544139,34.7873216,13.21,recorded,3.0,13.21,9.288784,מבנה רגיל,,1957.0
264,32.0557286,34.7868281,5.99,recorded,1.0,5.99,3.3247519,מבנה רגיל,,1941.0
266,32.0541624,34.7920829,7.16,recorded,1.0,7.16,6.8491063,מבנה רגיל,,1944.0
283,32.0561115,34.7897567,25.01,recorded,4.0,25.01,22.300776,מבנה ציבור,בית אחוה - מרכז רפואי רעות,
303,32.0481863,34.7979041,13.99,recorded,3.0,13.99,11.419925,מבנה רגיל,,1993.0
305,32.051353,34.7873787,10.59,recorded,3.0,10.59,10.712525,מבנה רגיל,,1958.0
320,32.0533981,34.7876668,10.85,recorded,3.0,10.85,9.184999,מבנה רגיל,,1949.0
322,32.0507454,34.7944645,5.03,recorded,2.0,5.03,8.4109745,מבנה רגיל,,1949.0
337,32.0503009,34.794588,8.3,recorded,2.0,8.3,5.213301,מבנה רגיל,,1951.0
339,32.0507947,34.7944683,3.95,recorded,2.0,3.95,6.6849995,מבנה רגיל,,1949.0
352,32.0521911,34.7908959,6.18,recorded,2.0,6.18,5.5530825,מבנה רגיל,,1949.0
354,32.0524135,34.7918426,8.2,recorded,1.0,8.2,4.3899994,מבנה רגיל,,1949.0
369,32.0529233,34.7901334,10.37,recorded,2.0,10.37,5.981127,מבנה רגיל,,1954.0
371,32.0529726,34.7916405,12.67,recorded,1.0,12.67,11.029174,מבנה רגיל,,
386,32.05262,34.7912596,11.14,recorded,3.0,11.14,8.869999,מבנה רגיל,,1951.0
388,32.053217,34.7909123,9.49,recorded,1.0,9.49,8.164629,מבנה רגיל,,1950.0
403,32.0510368,34.7893582,8.88,recorded,2.0,8.88,6.2752867,מבנה רגיל,,1951.0
405,32.051937,34.7898161,8.38,recorded,2.0,8.38,6.0249996,מבנה רגיל,,1952.0
420,32.0487674,34.7925813,10.33,recorded,1.0,10.33,5.869999,מבנה רגיל,,1950.0
422,32.0480801,34.792242,5.57,recorded,1.0,5.57,8.540659,מבנה רגיל,,1949.0
437,32.0506174,34.7915694,7.65,recorded,2.0,7.65,5.9769154,מבנה ציבור,,1949.0
439,32.0508463,34.7915762,9.65,recorded,2.0,9.65,8.049999,מבנה רגיל,,0.0
454,32.0484337,34.7979302,11.44,recorded,2.0,11.44,9.231922,מבנה רגיל,,1969.0
456,32.0479345,34.7977691,13.76,recorded,2.0,13.76,10.625,מבנה רגיל,,1982.0
469,32.0484483,34.7900121,7.27,recorded,3.0,7.27,10.084999,מבנה רגיל,,
471,32.0484661,34.7897706,6.47,recorded,1.0,6.47,6.0977573,מבנה רגיל,,1961.0
486,32.049694,34.7931444,5.61,recorded,1.0,5.61,2.9099998,מבנה רגיל,,1950.0
488,32.0478696,34.7927905,6.36,recorded,1.0,6.36,2.6511283,מבנה רגיל,,1949.0
503,32.0495398,34.7907912,14.54,recorded,3.0,14.54,12.51,מבנה רגיל,,1948.0
505,32.0495836,34.7904628,11.12,recorded,3.0,11.12,9.10375,מבנה רגיל,,1949.0
520,32.0495935,34.7927282,5.53,recorded,1.0,5.53,5.3050003,מבנה ארעי,,
522,32.0506075,34.7931214,9.26,recorded,2.0,9.26,6.4842553,מבנה ציבור,בית כנסת אוהל יוסף,1951.0
539,32.0475764,34.7894981,7.37,recorded,2.0,7.37,8.560001,מבנה רגיל,,
554,32.050659,34.790123,8.83,recorded,1.0,8.83,2.9571006,מבנה רגיל,,1990.0
556,32.0507578,34.7901465,9.12,recorded,2.0,9.12,7.089196,מבנה רגיל,,1945.0
573,32.0520297,34.7896519,4.95,recorded,1.0,4.95,5.3751965,מבנה רגיל,,0.0
17,32.055794,34.7774545,12.66,recorded,2.0,12.66,9.208738,מבנה רגיל,,
19,32.0540798,34.7774795,12.79,recorded,3.0,12.79,10.23,מבנה רגיל,,1938.0
28,32.0545391,34.7776924,10.88,recorded,2.0,10.88,9.006783,מבנה רגיל,,1949.0
51,32.0570862,34.7777223,13.64,recorded,4.0,13.64,11.388526,מבנה רגיל,,1965.0
53,32.0571341,34.7775568,16.71,recorded,4.0,16.71,14.256719,מבנה רגיל,,1959.0
60,32.0573915,34.7776976,18.26,recorded,4.0,18.26,14.911396,מבנה רגיל,,1941.0
62,32.0546506,34.7780801,3.91,recorded,1.0,3.91,5.7807016,מבנה רגיל,,
85,32.0549596,34.7771495,16.26,recorded,3.0,16.26,13.982259,מבנה רגיל,,1949.0
87,32.0550029,34.7770112,10.09,recorded,2.0,10.09,7.2881956,מבנה רגיל,,1945.0
92,32.0553474,34.7783937,5.13,recorded,1.0,5.13,3.7107892,מבנה רגיל,,
94,32.0554291,34.7783013,9.31,recorded,2.0,9.31,6.777517,מבנה רגיל,,1950.0
96,32.0554217,34.7767247,12.35,recorded,3.0,12.35,9.134229,מבנה רגיל,,1949.0
117,32.0540458,34.7766501,10.61,recorded,2.0,10.61,8.670455,מבנה רגיל,,1949.0
119,32.0538533,34.7766208,11.19,recorded,1.0,11.19,9.573251,מבנה רגיל,,1949.0
121,32.0540225,34.7763222,9.26,recorded,2.0,9.26,8.315664,מבנה רגיל,,1949.0
126,32.0541741,34.7775342,10.64,recorded,1.0,10.64,7.365,מבנה ארעי,,
128,32.0538018,34.7768542,9.4,recorded,2.0,9.4,8.747843,מבנה רגיל,,1949.0
151,32.0549772,34.7758301,17.57,recorded,4.0,17.57,14.834999,מבנה רגיל,,1959.0
153,32.055456,34.7774266,8.48,recorded,1.0,8.48,5.9085608,מבנה רגיל,,1978.0
160,32.0539517,34.7758504,10.84,recorded,1.0,10.84,8.719999,מבנה רגיל,,1947.0
162,32.0538495,34.7771477,8.12,recorded,1.0,8.12,5.2769837,מבנה רגיל,,1958.0
187,32.0504263,34.7920238,2.32,recorded,2.0,2.32,4.5250015,מבנה רגיל,,1953.0
219,32.0544073,34.7880152,8.15,recorded,1.0,8.15,10.636391,מבנה ציבור,,
226,32.0562841,34.7902861,24.06,recorded,4.0,24.06,19.056677,מבנה רגיל,בית אחוה - מרכז רפואי רעות,1956.0
251,32.0546367,34.7863406,10.13,recorded,3.0,10.13,10.970001,מבנה רגיל,,1993.0
253,32.054639,34.7865731,10.44,recorded,3.0,10.44,10.458231,מבנה רגיל,,1960.0
260,32.0555308,34.7874341,11.25,recorded,1.0,11.25,9.962486,מבנה רגיל,,2017.0
262,32.055569,34.7871122,11.85,recorded,1.0,11.85,8.478399,מבנה רגיל,,
285,32.0560699,34.7915038,12.83,recorded,2.0,12.83,7.200001,מבנה ציבור,בית ספר- מודיעים,
287,32.0567574,34.7876886,11.97,recorded,1.0,11.97,7.65856,מבנה ציבור,"בית ספר החי""ל",1951.0
4,32.0544324,34.7761469,10.71,recorded,2.0,10.71,9.045844,מבנה רגיל,,1949.0
11,32.0542981,34.7754638,19.73,recorded,5.0,19.73,16.887102,מבנה רגיל,,1998.0
18,32.0539896,34.777454,12.59,recorded,3.0,12.59,11.6,מבנה רגיל,,1948.0
29,32.0546596,34.7755055,19.53,recorded,1.0,19.53,13.39067,מבנה רגיל,,1949.0
36,32.0566223,34.7769051,14.59,recorded,4.0,14.59,14.740002,מבנה רגיל,,1950.0
54,32.0571711,34.7773939,14.66,recorded,3.0,14.66,12.588706,מבנה רגיל,,1935.0
61,32.0574857,34.7772799,17.66,recorded,4.0,17.66,14.587375,מבנה רגיל,,1967.0
68,32.0548199,34.7778635,12.99,recorded,2.0,12.99,10.417698,מבנה רגיל,,1951.0
86,32.0549217,34.7769442,4.0,recorded,1.0,4.0,2.0001073,מבנה רגיל,,
93,32.0553041,34.7783112,4.18,recorded,1.0,4.18,2.6531281,מבנה רגיל,,
104,32.0551898,34.778467,5.58,recorded,1.0,5.58,4.1335917,מבנה רגיל,,1949.0
111,32.0537098,34.7768216,7.74,recorded,1.0,7.74,7.3020363,מבנה רגיל,,1952.0
118,32.0537536,34.7765764,10.63,recorded,2.0,10.63,9.480129,מבנה רגיל,,1931.0
129,32.0541043,34.7769273,11.74,recorded,3.0,11.74,11.955,מבנה רגיל,,1948.0
136,32.0559351,34.7776327,15.09,recorded,4.0,15.09,13.17631,מבנה רגיל,,1938.0
143,32.0549391,34.7761868,12.71,recorded,4.0,12.71,15.2420435,מבנה רגיל,,1957.0
154,32.0555038,34.7764211,11.87,recorded,3.0,11.87,8.89293,מבנה רגיל,,1958.0
161,32.0539632,34.7771744,5.87,recorded,1.0,5.87,4.3441753,מבנה רגיל,,1955.0
168,32.0559399,34.777991,13.79,recorded,3.0,13.79,11.4665785,מבנה רגיל,,1938.0
